Rows extracted on 2026-09-11 from https://www.indesignjs.de/extendscriptAPI/indesign-latest/<Class>.html (Adobe InDesign ExtendScript DOM, latest), columns: name | type and values | access | description
  digitsType | DigitsTypeOptions DigitsTypeOptions.ARABIC_DIGITS DigitsTypeOptions.BENGALI_DIGITS DigitsTypeOptions.BURMESE_DIGITS DigitsTypeOptions.DEFAULT_DIGITS DigitsTypeOptions.DEVANAGARI_DIGITS DigitsTypeOptions.FARSI_DIGITS DigitsTypeOptions.FULL_FARSI_DIGITS DigitsTypeOptions.GUJARATI_DIGITS DigitsTypeOptions.GURMUKHI_DIGITS DigitsTypeOptions.HINDI_DIGITS DigitsTypeOptions.KANNADA_DIGITS DigitsTypeOptions.KHMER_DIGITS DigitsTypeOptions.LAO_DIGITS DigitsTypeOptions.MALAYALAM_DIGITS DigitsTypeOptions.NATIVE_DIGITS DigitsTypeOptions.ORIYA_DIGITS DigitsTypeOptions.TAMIL_DIGITS DigitsTypeOptions.TELUGU_DIGITS DigitsTypeOptions.THAI_DIGITS DigitsTypeOptions.TIBETAN_DIGITS | read/write | The digits type.
  hyphenation | Boolean | read/write | If true, allows hyphenation.
  justification | Justification Justification.AWAY_FROM_BINDING_SIDE Justification.CENTER_ALIGN Justification.CENTER_JUSTIFIED Justification.FULLY_JUSTIFIED Justification.LEFT_ALIGN Justification.LEFT_JUSTIFIED Justification.RIGHT_ALIGN Justification.RIGHT_JUSTIFIED Justification.TO_BINDING_SIDE | read/write | The paragraph alignment.
  kashidas | KashidasOptions KashidasOptions.DEFAULT_KASHIDAS KashidasOptions.KASHIDAS_OFF | read/write | Use of Kashidas for justification
  keyboardDirection | CharacterDirectionOptions CharacterDirectionOptions.DEFAULT_DIRECTION CharacterDirectionOptions.LEFT_TO_RIGHT_DIRECTION CharacterDirectionOptions.RIGHT_TO_LEFT_DIRECTION | read/write | The keyboard direction of the character.
  ligatures | Boolean | read/write | If true, replaces specific character combinations (e.g., fl, fi) with ligature characters.
  otfContextualAlternate | Boolean | read/write | If true, uses contextual alternate forms in OpenType fonts.
  otfDiscretionaryLigature | Boolean | read/write | If true, uses discretionary ligatures in OpenType fonts.
  otfJustificationAlternate | Boolean | read/write | If true, use alternate justification forms in OpenType fonts
  otfOverlapSwash | Boolean | read/write | If true, use overlapping swash forms in OpenType fonts
  otfStretchedAlternate | Boolean | read/write | If true, use stretched alternate forms in OpenType fonts
  otfStylisticAlternate | Boolean | read/write | If true, use stylistic alternate forms in OpenType fonts
  paragraphDirection | ParagraphDirectionOptions ParagraphDirectionOptions.LEFT_TO_RIGHT_DIRECTION ParagraphDirectionOptions.RIGHT_TO_LEFT_DIRECTION | read/write | Paragraph direction.
  paragraphJustification | ParagraphJustificationOptions ParagraphJustificationOptions.ARABIC_JUSTIFICATION ParagraphJustificationOptions.DEFAULT_JUSTIFICATION ParagraphJustificationOptions.NASKH_JUSTIFICATION ParagraphJustificationOptions.NASKH_KASHIDA_JUSTIFICATION ParagraphJustificationOptions.NASKH_KASHIDA_JUSTIFICATION_FRAC ParagraphJustificationOptions.NASKH_TATWEEL_JUSTIFICATION ParagraphJustificationOptions.NASKH_TATWEEL_JUSTIFICATION_FRAC | read/write | Paragraph justification.
  paragraphKashidaWidth | Number | read/write | Paragraph kashida width. 0 is none, 1 is short, 2 is medium, 3 is long
  xOffsetDiacritic | Number | read/write | The x (horizontal) offset for diacritic adjustment.
  yOffsetDiacritic | Number | read/write | The y (vertical) offset for diacritic adjustment.

== Character
  appliedLanguage | LanguageWithVendors LanguageCanalsoaccept:String | read/write | The language of the text. Can return: LanguageWithVendors or Language. Can also accept: String.
  characterAlignment | CharacterAlignment CharacterAlignment.ALIGN_BASELINE CharacterAlignment.ALIGN_EM_BOTTOM CharacterAlignment.ALIGN_EM_CENTER CharacterAlignment.ALIGN_EM_TOP CharacterAlignment.ALIGN_ICF_BOTTOM CharacterAlignment.ALIGN_ICF_TOP | read/write | The alignment of small characters to the largest character in the line.
  characterDirection | CharacterDirectionOptions CharacterDirectionOptions.DEFAULT_DIRECTION CharacterDirectionOptions.LEFT_TO_RIGHT_DIRECTION CharacterDirectionOptions.RIGHT_TO_LEFT_DIRECTION | read/write | The direction of the character.
  composer | String | read/write | The text composer to use to compose the text.
  diacriticPosition | DiacriticPositionOptions DiacriticPositionOptions.DEFAULT_POSITION DiacriticPositionOptions.LOOSE_POSITION DiacriticPositionOptions.MEDIUM_POSITION DiacriticPositionOptions.OPENTYPE_POSITION DiacriticPositionOptions.OPENTYPE_POSITION_FROM_BASELINE DiacriticPositionOptions.TIGHT_POSITION | read/write | Position of diacriticical characters.
  digitsType | DigitsTypeOptions DigitsTypeOptions.ARABIC_DIGITS DigitsTypeOptions.BENGALI_DIGITS DigitsTypeOptions.BURMESE_DIGITS DigitsTypeOptions.DEFAULT_DIGITS DigitsTypeOptions.DEVANAGARI_DIGITS DigitsTypeOptions.FARSI_DIGITS DigitsTypeOptions.FULL_FARSI_DIGITS DigitsTypeOptions.GUJARATI_DIGITS DigitsTypeOptions.GURMUKHI_DIGITS DigitsTypeOptions.HINDI_DIGITS DigitsTypeOptions.KANNADA_DIGITS DigitsTypeOptions.KHMER_DIGITS DigitsTypeOptions.LAO_DIGITS DigitsTypeOptions.MALAYALAM_DIGITS DigitsTypeOptions.NATIVE_DIGITS DigitsTypeOptions.ORIYA_DIGITS DigitsTypeOptions.TAMIL_DIGITS DigitsTypeOptions.TELUGU_DIGITS DigitsTypeOptions.THAI_DIGITS DigitsTypeOptions.TIBETAN_DIGITS | read/write | The digits type.
  hyphenation | Boolean | read/write | If true, allows hyphenation.
  justification | Justification Justification.AWAY_FROM_BINDING_SIDE Justification.CENTER_ALIGN Justification.CENTER_JUSTIFIED Justification.FULLY_JUSTIFIED Justification.LEFT_ALIGN Justification.LEFT_JUSTIFIED Justification.RIGHT_ALIGN Justification.RIGHT_JUSTIFIED Justification.TO_BINDING_SIDE | read/write | The paragraph alignment.
  kashidas | KashidasOptions KashidasOptions.DEFAULT_KASHIDAS KashidasOptions.KASHIDAS_OFF | read/write | Use of Kashidas for justification
  keyboardDirection | CharacterDirectionOptions CharacterDirectionOptions.DEFAULT_DIRECTION CharacterDirectionOptions.LEFT_TO_RIGHT_DIRECTION CharacterDirectionOptions.RIGHT_TO_LEFT_DIRECTION | read/write | The keyboard direction of the character.
  ligatures | Boolean | read/write | If true, replaces specific character combinations (e.g., fl, fi) with ligature characters.
  otfContextualAlternate | Boolean | read/write | If true, uses contextual alternate forms in OpenType fonts.
  otfDiscretionaryLigature | Boolean | read/write | If true, uses discretionary ligatures in OpenType fonts.
  otfJustificationAlternate | Boolean | read/write | If true, use alternate justification forms in OpenType fonts
  otfOverlapSwash | Boolean | read/write | If true, use overlapping swash forms in OpenType fonts
  otfStretchedAlternate | Boolean | read/write | If true, use stretched alternate forms in OpenType fonts
  otfStylisticAlternate | Boolean | read/write | If true, use stylistic alternate forms in OpenType fonts
  paragraphDirection | ParagraphDirectionOptions ParagraphDirectionOptions.LEFT_TO_RIGHT_DIRECTION ParagraphDirectionOptions.RIGHT_TO_LEFT_DIRECTION | read/write | Paragraph direction.
